Date,TMax,TMin,Precip,Snow,SDep,Rs,Wind,TDew,ASCEr,ASCEg
Units,C,C,mm/day,mm/day,mm,MJ/m2,m/s,C,mm/day,mm/day
1956-05-30,31.111044124499998,15.601044124500001,3.74940649594,0,0,26.97486357425201,3.48,13.456370190500001,9.314279155337958,6.94372965738713
1956-05-31,33.1710441245,16.6910441245,0.0,0,0,27.542501272639374,3.48,14.5463701905,10.025652786394405,7.4398751969904335
1956-06-01,28.259939088200003,15.0199390882,0.0,0,0,25.22387515658206,3.42,11.6794585532,8.453887887201432,6.302460370999594
1956-06-02,26.7199390882,15.029939088199999,0.0,0,0,23.48682811000776,3.42,11.689458553199998,7.7122500734752135,5.77491512035952
1956-06-03,31.6499390882,16.6499390882,0.0,0,0,26.716434558094406,3.42,13.309458553199999,9.646678009912513,7.147765970566311
1956-06-04,33.839939088200005,18.8599390882,0.0403369169165,0,0,26.514192962058694,3.42,15.5194585532,10.105018466016265,7.4895034666558855
1956-06-05,32.2599390882,18.3799390882,0.201684584582,0,0,25.651792442624263,3.42,15.0394585532,9.464185697266384,7.04358500739119
1956-06-06,34.9899390882,21.0199390882,0.0403369169165,0,0,25.50226342182083,3.42,17.6794585532,10.040433672944888,7.4738819759848925
1956-06-07,34.3999390882,17.249939088199998,0.0,0,0,28.179102800073426,3.42,13.909458553199997,10.827335573588096,7.955076396467387
1956-06-08,36.0499390882,18.839939088199998,0.0645390670664,0,0,28.06936319472914,3.42,15.499458553199997,11.212461981855059,8.238294825658173
1956-06-09,33.7899390882,19.429939088199998,0.0968086005996,0,0,26.062785386064707,3.42,16.089458553199997,9.932863401565417,7.385066259201456
1956-06-10,29.439939088200003,14.529939088199999,0.0242021501499,0,0,27.004866154993127,3.42,11.189458553199998,9.178684137400944,6.813527584964672
1956-06-11,32.1899390882,14.539939088199999,0.0,0,0,28.791231994122104,3.42,11.1994585532,10.460198964623542,7.672998679217452
1956-06-12,34.8699390882,17.2399390882,3.16241428625,0,0,28.522584252741925,3.42,13.899458553199999,11.071166543307017,8.12122247227557
1956-06-13,36.0399390882,16.1699390882,1.2907813413299998,0,0,29.571665015047557,3.42,12.829458553199999,11.888017696782395,8.627258983237018
1956-06-14,34.9699390882,16.7299390882,0.0,0,0,28.889026325940925,3.42,13.389458553199997,11.249583310943665,8.229592072404685
1956-06-15,34.3899390882,16.7099390882,0.0,0,0,28.633059769517768,3.42,13.369458553199998,10.98060453484792,8.05448182967188
1956-06-16,33.379939088200004,18.3299390882,0.0,0,0,26.814968174091398,3.42,14.989458553199999,10.064919915760488,7.467617425282273
